danceability,energy,valence_like,bpm,avg_loudness_db,spectral_energy,spectral_centroid,key,mode,yt_id,title,artist
1.1492761373519897,0.753299556563194,0.12,129.67706298828125,18.619470764544403,0.13198992679865287,0.056654564684316795,Bb,0,lNyr6xs-EM8,TERI YAAD - SAJJAD ALI - OSA OFFICIAL,Oriental Star Agencies Ltd
1.2652976512908936,0.7548525522490008,0.27999999999999997,139.96966552734375,20.776357578580015,0.19412647186135948,0.07698047833239458,C,1,Jr2kwaL-tqE,Facts Behind of Legend Singer Sajjad Ali and his Alleged Sister Bushra Akhtar | Reality Revealed |,Information with Fawaz
1.2727012634277344,0.7501390646145141,0.12,105.8144760131836,2.217677048002362,0.005562585154294405,0.08872965142688485,C,0,zi0HzXvuEJA,Lari Ada Lari Ada - Sajjad Ali - OSA Official HD Video,Oriental Star Agencies Ltd
1.2789052724838257,0.752387530291803,0.12,103.74171447753906,15.27686132219157,0.0955041152211065,0.17866320937001326,C,0,Jx7kRAGoXAk,Larri Adda | Sohni Lag Di | Sajjad Ali | Archies Music,Archies Music
1.187440276145935,0.751979577769045,0.12,129.57086181640625,13.505200946023713,0.07918476574184696,0.18455997078856512,C,0,FNPcwUBRAF4,Sohni Lag Di | Sajjad Ali | Archies Music,Archies Music
0.8627212643623352,0.7521981488013127,0.12,122.46737670898438,13.111632199120491,0.0879282180015021,0.12821908929925896,Eb,0,D6p3-yymnwk,Sajjad Ali Challenge to his Band - Must Watch & Enjoy,Suristaan Music
1.1183788776397705,0.7525832675252508,0.27999999999999997,143.94747924804688,16.123511764548052,0.10333437886582096,0.1555255333358617,D,1,NP_D2mAYMjo,Coke Studio Season 10| Tera Naam| Sajjad Ali,Coke Studio Pakistan
1.1609655618667603,0.7507544434335433,0.27999999999999997,149.48660278320312,6.8318292685574855,0.030177828951362694,0.10478768948179981,C,1,SMQFbA0WyRQ,Paniyon Me - Sajjad Ali,TheHassan91
1.1414674520492554,0.7522490743356225,0.12,90.85224914550781,14.798227927792539,0.08996540054484056,0.156546487700732,A,0,eIbmZhMeN5E,ONCE AGAIN SAJJAD ALI VOL 87 DIL MEIN TERI HI MOHABBAT HOGI,Sm Sohail
1.318184733390808,0.7515079875015553,0.12,155.22007751464844,11.14667259378084,0.0603202316415461,0.17288879563982923,Bb,0,HmjxerIDVYQ,Chief Sab | Sohni Lag Di | Sajjad Ali | Archies Music,Archies Music
1.020527720451355,0.7536069237222803,0.12,149.0501251220703,20.067376593948556,0.14428696096034335,0.09452021881664922,G,0,A4col6Wf8ek,Na koi umang hai - Sajjad Ali,Shariq Kahn
1.4478312730789185,0.7511184651977105,0.27999999999999997,126.10114288330078,8.875391879448378,0.04473890639950091,0.22334740645062806,Ab,1,T-Oqw_Oky_o,Chal Ud Ja | Sohni Lag Di | Sajjad Ali | Archies Music,Archies Music
1.1423003673553467,0.7548109545882778,0.27999999999999997,100.59353637695312,21.05023424881474,0.1924619436716232,0.11164643283990132,E,1,vDvg1mu9W14,Tum Naraz Ho | Sajjad Ali | MusicMela 2018,EchoMusicTV
1.0301817655563354,0.7531388906731271,0.27999999999999997,152.58799743652344,18.344402195873418,0.12556222516903814,0.08881857488703378,Ab,1,_DXGzxFbsIk,🧚‍♀️SAJJAD ALI .88 VOL. 2 💥STEREO  T SERIES @bkmusic880,BKMUSIC
1.416067123413086,0.7506630803115439,0.27999999999999997,110.13074493408203,6.263569333934161,0.026523274657256568,0.08747922902031528,C,1,81ELCBn2NN8,Sajjad Ali Exile Periods End Shifted Back To Pakistan | Sajjad Ali | Singer |,Nabeel Rasheed
1.0006048679351807,0.7527359146121377,0.27999999999999997,99.7986068725586,16.022529027663943,0.10944095364144828,0.07509905003271898,Eb,1,NCSbwVMVtqM,Pakistani Celebrities Enjoying at PISA 2021 | Sajjad Ali Performance,Couch Potato
1.104052186012268,0.7511604095873954,0.12,104.71347045898438,9.441232025855559,0.04641671684412909,0.1323963110522617,F,0,q6YvD0vHieI,Cinderella | Sajjad Ali | The Yellow Case,The Yellow Case
1.321219801902771,0.7516274480470655,0.12,119.67689514160156,11.84749597793658,0.06509884146610156,0.12630039908760568,F,0,aJvw_xRAsPE,Sajjad Ali - Neeli Neeli,Bombay Acid
1.2252291440963745,0.7555769219151935,0.27999999999999997,128.05029296875,27.924663457272967,0.22311389112663635,0.11924745221536584,Eb,1,89DLvdk7TP4,Ravi song by sajjad ali with  (lyrics),fahad ali😎
1.1643831729888916,0.751083043162727,0.27999999999999997,120.16719055175781,8.999944889820945,0.043321997528808324,0.07870056130625003,C#,1,VpQ5VWppftE,Katna Nai - Original Sajjad Ali - Ahsan Ali Khan - Suristaan Music,Suristaan Music
1.2667628526687622,0.7516919359711247,0.12,89.97855377197266,11.150353186298474,0.06767847213546505,0.09991310091010543,C#,0,GP31kIvnn6w,Zaw Ali | Teriyan (Official Video) | 2023,Zaw Ali
0.9289618134498596,0.7528262008337284,0.12,119.12211608886719,15.586099960954058,0.11305284951109312,0.060512895776240576,C,0,9BbfZtP8n8Q,Sajjad Ali song #youtubeshorts #sajjadali #shorts #event #dubai,Zeeshan Malik
0.8750967979431152,0.7544208739001358,0.27999999999999997,128.76393127441406,21.1681382384099,0.17685339191613178,0.12893899291397465,F,1,u6zdDb1Drlo,Raavi | Ahsan Ali Khan | Cover | Sajjad Ali Song | Latest Song 2023 | Latest Song | New Punjabi Song,Suristaan Music
